Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Res,Data,Temp,Clamp,Batch,Acc,Stress
1,2.74313487,2.21155294,0.00000471,-0.0792,-0.0941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.10,0.1000,20.0,64,1,0.000000
2,1.83415607,0.84131212,0.00001331,0.3559,0.4538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.25,0.1000,20.0,64,1,0.000000
3,0.53370278,0.43965947,0.00003513,0.5102,0.6059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.25,0.1000,20.0,64,1,0.000000
4,0.40056548,0.42714606,0.00003600,0.5603,0.6609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.25,0.1000,20.0,64,1,0.000000
5,0.39568438,0.40196141,0.00003600,0.5333,0.6626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.25,0.1000,20.0,64,1,0.000000
6,0.39005076,0.40208728,0.00003600,0.5735,0.6903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.40,0.1000,20.0,64,1,0.000000
7,0.24594054,0.11777683,0.00003599,0.6206,0.6925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.40,0.1000,20.0,64,1,0.000000
8,0.08728704,0.10134025,0.00003598,0.6709,0.7132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.40,0.1000,20.0,64,1,0.000000
9,0.07579731,0.09916162,0.00003597,0.6864,0.7259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.40,0.1000,20.0,64,1,0.000000
10,0.06879631,0.11478644,0.00003595,0.6737,0.7104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.40,0.1000,20.0,64,1,0.000000
11,0.06186536,0.09520000,0.00003593,0.6868,0.7203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.55,0.1000,20.0,64,1,0.000000
12,0.06488763,0.08947731,0.00003591,0.6958,0.7276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.55,0.1000,20.0,64,1,0.000000
13,0.05827538,0.09084443,0.00003587,0.6938,0.7259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.55,0.1000,20.0,64,1,0.000000
14,0.05235769,0.09213588,0.00003583,0.7003,0.7284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.55,0.1000,20.0,64,1,0.000000
15,0.04732694,0.10338599,0.00003579,0.6957,0.7291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.55,0.1000,20.0,64,1,0.000000
16,0.04270866,0.09186283,0.00002501,0.6990,0.7220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.70,0.1000,15.0,64,1,0.000000
17,0.04847322,0.09537435,0.00002496,0.7024,0.7283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.85,0.1000,15.0,64,1,0.000000
18,0.04503647,0.09271867,0.00002489,0.7016,0.7260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,0.85,0.1000,15.0,64,1,0.000000
19,0.04092852,0.09681054,0.00002482,0.7007,0.7293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,1.00,0.1000,15.0,64,1,0.000000
20,0.03926474,0.09147124,0.00002471,0.7060,0.7269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,1.00,0.1000,15.0,64,1,0.000000
21,0.03594271,0.09754474,0.00002460,0.7097,0.7344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,224,1.00,0.1000,15.0,64,1,0.000000
22,0.08106239,0.08455955,0.00000471,0.7289,0.7366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
23,0.06564029,0.08164113,0.00001333,0.7387,0.7441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
24,0.05837203,0.08092427,0.00002401,0.7385,0.7442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
25,0.05219562,0.08501974,0.00002287,0.7228,0.7339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
26,0.04476804,0.08253757,0.00002520,0.7353,0.7404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
27,0.03879984,0.08259340,0.00002520,0.7349,0.7434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
28,0.03417555,0.08456405,0.00002520,0.7367,0.7459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.10,1.0000,15.0,24,1,0.000000
29,0.03063636,0.08465097,0.00002520,0.7287,0.7382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
30,0.05915425,0.07950523,0.00002520,0.7467,0.7528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
31,0.05202059,0.07875337,0.00002520,0.7487,0.7531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.25,1.0000,15.0,24,1,0.000000
