Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Data,Temp,Clamp,Batch,Accum,Stress
1,0.00782441,0.00716774,0.00000303,0.0000,0.0000,21.4700,0.7267,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
2,0.00636003,0.00589824,0.00000489,0.0000,0.0000,22.3200,0.7324,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
3,0.00541402,0.00528797,0.00000790,0.0000,0.0000,22.8000,0.7380,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
4,0.00500678,0.00501889,0.00001193,0.0000,0.0000,23.0300,0.7440,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
5,0.00473392,0.00475141,0.00001680,0.0000,0.0000,23.2700,0.7509,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
6,0.00448973,0.00453636,0.00002231,0.0000,0.0000,23.4700,0.7580,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
7,0.00430104,0.00435821,0.00002820,0.0000,0.0000,23.6400,0.7635,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
8,0.00410555,0.00413981,0.00003422,0.0000,0.0000,23.8600,0.7719,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
9,0.00393524,0.00401049,0.00004011,0.0000,0.0000,24.0000,0.7777,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
10,0.00383628,0.00393207,0.00004561,0.0000,0.0000,24.0900,0.7818,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
11,0.00375418,0.00385507,0.00005048,0.0000,0.0000,24.1700,0.7866,0.0500,10.0000,0.0000,0.0000,0.10,0.10,20.00,16,1,0.000000
