Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Data,Temp,Clamp,Batch,Acc
1,0.2270341,0.174529,0.000015,0.8521,0.8060,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
2,0.227035,0.174555,0.000015,0.8637,0.8166,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
3,0.227035,0.174529,0.000015,0.8712,0.8268,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
4,0.227143,0.174513,0.000015,0.8822,0.8331,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
5,0.227013,0.174529,0.000015,0.8977,0.85657,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
6,0.227035,0.174527,0.000015,0.9023,0.8612,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
7,0.226643,0.174532,0.000015,0.9121,0.8744,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
8,0.22,0.174528,0.000015,0.9343,0.8954,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
9,0.227035,0.174529,0.000015,0.9521,0.9060,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
10,0.227027,0.174531,0.000024,0.9596,0.9068,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
11,0.227027,0.174531,0.000024,0.9596,0.9068,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
