Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Data,Temp,Clamp,Batch,Acc
1,1.44228202,0.61229941,0.00003927,0.9663,0.7935,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
2,0.45310113,0.60122450,0.00007859,0.9766,0.8742,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
3,0.77226122,0.60737067,0.00002217,0.9705,0.8475,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
4,0.75384913,0.59080775,0.00004800,0.9824,0.8768,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
5,0.74716000,0.58326077,0.00004800,0.9832,0.8785,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
6,0.29774806,0.59993318,0.00004800,0.9833,0.8786,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
7,0.74165495,0.57626103,0.00003840,0.9834,0.8795,0.0,0.0,0.0,10.0,0.0,0.0,0.10,0.10,20.0,16,1
8,0.74829353,0.59082507,0.00002880,0.9835,0.8840,0.0000,0.0000,0.05,10.0,0.0,0.0,0.10,0.10,20.0,16,1
9,0.74856744,0.59031743,0.00000284,0.9834,0.8857,0.0000,0.0000,0.05,10.0,0.0,0.0,0.10,0.10,20.0,16,1
10,0.74290077,0.57503281,0.00000285,0.9850,0.8926,0.0000,0.0000,inf,inf,0.0000,0.0000,0.10,0.1000,20.0,16,4
11,0.74211405,0.57450002,0.00000803,0.9855,0.8917,0.0000,0.0000,inf,inf,0.0000,0.0000,0.10,0.1000,20.0,16,4
12,0.74132897,0.57331374,0.00001444,0.9857,0.9011,0.0000,0.0000,inf,inf,0.0000,0.0000,0.10,0.1000,20.0,16,4
13,0.73945419,0.57458910,0.00001962,0.9853,0.8910,0.0000,0.0000,inf,inf,0.0000,0.0000,0.10,0.1000,20.0,16,4
14,0.73696776,0.57382630,0.00002160,0.9848,0.9037,0.0000,0.0000,inf,inf,0.0000,0.0000,0.10,0.1000,20.0,16,4
15,0.73350716,0.57758819,0.00002160,0.9838,0.8887,0.0000,0.0000,inf,inf,0.0000,0.0000,0.10,0.1000,20.0,16,4
